,n_estimators,learning_rate,score
285_0.31875000000000003,285,0.31875000000000003,0.6540599774422944
285_0.335,285,0.335,0.6585767953017462
285_0.35125,285,0.35125,0.6711443915107497
285_0.36750000000000005,285,0.36750000000000005,0.6746405387798463
285_0.38375000000000004,285,0.38375000000000004,0.6811994056309287
285_0.4,285,0.4,0.6914432913486204
310_0.01,310,0.01,0.5605033305340008
310_0.026250000000000002,310,0.026250000000000002,0.5664384359787799
310_0.0425,310,0.0425,0.5705786626679907
310_0.058750000000000004,310,0.058750000000000004,0.574863011009242
310_0.075,310,0.075,0.5794767583605913
310_0.09125,310,0.09125,0.5845824964413229
310_0.1075,310,0.1075,0.5879253746282838
310_0.12375,310,0.12375,0.5927277104396753
310_0.14,310,0.14,0.5979127483454313
310_0.15625,310,0.15625,0.6059542741221203
310_0.17250000000000001,310,0.17250000000000001,0.609837621391729
310_0.18875000000000003,310,0.18875000000000003,0.6157439604535696
310_0.20500000000000002,310,0.20500000000000002,0.6193686032577236
310_0.22125,310,0.22125,0.6245832710533764
310_0.23750000000000002,310,0.23750000000000002,0.627465111305611
310_0.25375000000000003,310,0.25375000000000003,0.6353295720951325
310_0.27,310,0.27,0.6396535808207172
310_0.28625,310,0.28625,0.6522877499549545
310_0.3025,310,0.3025,0.6563360839991248
310_0.31875000000000003,310,0.31875000000000003,0.6602676751160902
310_0.335,310,0.335,0.662858095288054
310_0.35125,310,0.35125,0.6762689185818718
310_0.36750000000000005,310,0.36750000000000005,0.6806478454893172
310_0.38375000000000004,310,0.38375000000000004,0.688255089376946
310_0.4,310,0.4,0.6983660436719232
335_0.01,335,0.01,0.5609324443609839
335_0.026250000000000002,335,0.026250000000000002,0.5669979325321225
335_0.0425,335,0.0425,0.5710990359408695
335_0.058750000000000004,335,0.058750000000000004,0.5760896885619403
335_0.075,335,0.075,0.5806354621412197
335_0.09125,335,0.09125,0.5863742735091242
335_0.1075,335,0.1075,0.5897589777394809
335_0.12375,335,0.12375,0.5947995247605349
335_0.14,335,0.14,0.5992684348490472
335_0.15625,335,0.15625,0.6081672550783608
335_0.17250000000000001,335,0.17250000000000001,0.6117087462723854
335_0.18875000000000003,335,0.18875000000000003,0.6190870437100214
335_0.20500000000000002,335,0.20500000000000002,0.6223730840210662
335_0.22125,335,0.22125,0.6275954502681171
335_0.23750000000000002,335,0.23750000000000002,0.6300200083178177
335_0.25375000000000003,335,0.25375000000000003,0.6386770022142955
335_0.27,335,0.27,0.6442948884886809
335_0.28625,335,0.28625,0.6564218900349044
335_0.3025,335,0.3025,0.6602043613039509
335_0.31875000000000003,335,0.31875000000000003,0.6649957405608012
335_0.335,335,0.335,0.6677363035072884
335_0.35125,335,0.35125,0.6800765487896783
335_0.36750000000000005,335,0.36750000000000005,0.6858344761325078
335_0.38375000000000004,335,0.38375000000000004,0.6922180659591336
335_0.4,335,0.4,0.7034578970193266
360_0.01,360,0.01,0.5613010072857527
360_0.026250000000000002,360,0.026250000000000002,0.567596659496615
360_0.0425,360,0.0425,0.5721296400837725
360_0.058750000000000004,360,0.058750000000000004,0.577445798086568
360_0.075,360,0.075,0.5823473323784137
360_0.09125,360,0.09125,0.5887113456216246
360_0.1075,360,0.1075,0.5916037515869804
360_0.12375,360,0.12375,0.5972781949955489
360_0.14,360,0.14,0.6018662712051686
360_0.15625,360,0.15625,0.6095690548831546
360_0.17250000000000001,360,0.17250000000000001,0.6144818719914494
360_0.18875000000000003,360,0.18875000000000003,0.6218114284792591
360_0.20500000000000002,360,0.20500000000000002,0.6255218876613509
360_0.22125,360,0.22125,0.6305707791002921
360_0.23750000000000002,360,0.23750000000000002,0.6328216297646355
360_0.25375000000000003,360,0.25375000000000003,0.6411298710460632
360_0.27,360,0.27,0.646292610742594
360_0.28625,360,0.28625,0.6595642203235986
360_0.3025,360,0.3025,0.6633580601671778
360_0.31875000000000003,360,0.31875000000000003,0.668999854474095
360_0.335,360,0.335,0.673074244643957
360_0.35125,360,0.35125,0.6843212903861592
360_0.36750000000000005,360,0.36750000000000005,0.6905694425953012
360_0.38375000000000004,360,0.38375000000000004,0.6969157285428426
360_0.4,360,0.4,0.7080387801684197
385_0.01,385,0.01,0.5615212853907163
385_0.026250000000000002,385,0.026250000000000002,0.5682262113773578
385_0.0425,385,0.0425,0.5729040313716786
385_0.058750000000000004,385,0.058750000000000004,0.5788758750291745
385_0.075,385,0.075,0.5833594778055978
385_0.09125,385,0.09125,0.5905185391090221
385_0.1075,385,0.1075,0.5935316988927188
385_0.12375,385,0.12375,0.5982371799118488
385_0.14,385,0.14,0.6040365197658691
385_0.15625,385,0.15625,0.6120919642484032
385_0.17250000000000001,385,0.17250000000000001,0.6170597701536659
385_0.18875000000000003,385,0.18875000000000003,0.6234900424682766
385_0.20500000000000002,385,0.20500000000000002,0.628448251747245
385_0.22125,385,0.22125,0.6339141009963954
385_0.23750000000000002,385,0.23750000000000002,0.6375304728159212
385_0.25375000000000003,385,0.25375000000000003,0.6450196916011964
385_0.27,385,0.27,0.6497859593045288
385_0.28625,385,0.28625,0.6623425849250931
385_0.3025,385,0.3025,0.6664988371627301
385_0.31875000000000003,385,0.31875000000000003,0.6716626171394937
385_0.335,385,0.335,0.6770639345932065
385_0.35125,385,0.35125,0.6890383301318109
385_0.36750000000000005,385,0.36750000000000005,0.6946603773547817
385_0.38375000000000004,385,0.38375000000000004,0.7025380473056049
385_0.4,385,0.4,0.712425671229388
410_0.01,410,0.01,0.5617960456070021
410_0.026250000000000002,410,0.026250000000000002,0.5687512440459191
410_0.0425,410,0.0425,0.5738227517905917
410_0.058750000000000004,410,0.058750000000000004,0.5803106195587028
410_0.075,410,0.075,0.5844610681820754
410_0.09125,410,0.09125,0.5918476647404386
410_0.1075,410,0.1075,0.5961375284509421
410_0.12375,410,0.12375,0.6004729987903072
410_0.14,410,0.14,0.6052380437398596
410_0.15625,410,0.15625,0.6153298962552995
410_0.17250000000000001,410,0.17250000000000001,0.6201509535019674
410_0.18875000000000003,410,0.18875000000000003,0.6266822257036387
410_0.20500000000000002,410,0.20500000000000002,0.6317773120138159
410_0.22125,410,0.22125,0.6370847702360217
410_0.23750000000000002,410,0.23750000000000002,0.6411210989284923
410_0.25375000000000003,410,0.25375000000000003,0.6492737384903344
410_0.27,410,0.27,0.6534149328740919
410_0.28625,410,0.28625,0.6664392456468806
410_0.3025,410,0.3025,0.6715988412831142
410_0.31875000000000003,410,0.31875000000000003,0.6769279426886629
410_0.335,410,0.335,0.6810926943050316
410_0.35125,410,0.35125,0.6925326787611726
