time,rawContent
2021-07-12 19:32:48+00:00,"$CZR will be partnering with Prophet, a NJ based sports betting exchange, to launch a new online sports betting exchange in NJ and Indiana"
2021-07-12 19:43:53+00:00,"$CZR will be partnering with Prophet, a NJ based sports betting exchange, to launch a new online sports betting exchange in NJ and Indiana"
2021-07-12 19:57:57+00:00,Long $Dis $TSM $SNOW $JKS $TAN $COIN Short $CZR $XLE
2021-07-13 21:31:50+00:00,Not surprised at the $AAL news tonight but IMO the biggest upside surprise should come from casinos with all US exposure and they going into earnings cold. Me likes those set ups $RRR $WYNN $CZR $MGM $BETZ
2021-07-14 13:28:52+00:00,"Jim Cramer says sell $DIS, he said sell $SQ. now he says people are scared of gambling stocks b/c there is a plethora? No one cares about $MGM $CZR $LVS.. People will use those for the 1 time sign up for free stuff and move back to the leaders of $PENN and $DKNG Cramer is a shill"
2021-07-14 13:55:13+00:00,"Call/Put Highest % Volume Changes: Calls: $NEOS, $APHA, $SBGL, $WPF, $SBSW Puts: $APHA, $CZR, $OTLY, $AGN, $AZN"
2021-07-15 17:01:30+00:00,"Real Life People are traveling, people are out living, everything is open The media still pumping Covid and spike in the fall Travel stocks down bc of this Read real life again I got $CZR $VAC I'm down on &amp; just got $RCL  Hold travel long good buys now  $WYNN $ABNB $EXPE"
2021-07-16 02:44:55+00:00,"The CEO compensation (9 million/year) of $CZR is too high. After analyzing the compensation and performance of all publically listed companies, I find the CEO payment of $CZR is 1.5 times the level of the level it should be."
2021-07-16 20:23:01+00:00,$NCLH lost over 5% and is Friday's worst performing $SPX #stock; $CZR $LYB $OXY $GPS $CCL $PXD $NVDA $CFG $DD $FANG $UA $UAA $WDC $ALK $KEY and $ZION all closed down over 4% on the day #trading
2021-07-17 22:59:53+00:00,You have to bet on a Casino/Online sports betting stock until EOY. Which do you add to your portfolio? A. Boyd $BYD B. Caesars $CZR C. DraftKings $DKNG D. Penn $PENN Comment with better bet! $WYNN $CHDN $LVS $GAN $BETZ $SGMS $IGT $GNOG $GMBL $MGM $GLPI $MCRI $BALY $GDEN $CNTY
2021-07-18 15:59:23+00:00,$GPS $MGM $CZR  oversold RSI
2021-07-18 17:03:18+00:00,Long $Dis Short $CZR $XLE $IP $EOG Let's go Shorts
2021-07-18 19:05:24+00:00,Poll: A friend wants to start investing. What bucket of stocks would you recommend right now?  A) $AMZN $MSFT $PINS $PENN $ETH $CCL $AMC  B) $AAPL $SNAP $DIS $DKNG $DOGE $ABNB $WISH C) $FB $PYPL $NFLX $BYD $COIN $BA $XELA D) $GOOG $TWTR $ROKU $CZR $BTC $NCLH $OCGN $SPY $QQQ
2021-07-19 10:17:31+00:00,$CZR. Buy Long at $95.69 $NASDAQ $NYSE $NYQ $NMS   #investsySignals #SP500  #NASDAQ100  #Signals #StocksToWatch #stocks   #trading #stockmarkets #investment #ToTheMoon
2021-07-19 12:25:35+00:00,$BA $JPM $BAC $MAR $BABA $CZR $NCL The ONLY thing that has changed since last Week is that CNNBC is being told to PUSH THE DELTA VARIANT #misinformation and the short hedge funds love it
2021-07-19 15:01:30+00:00,"Watchlist for the week.  $XOM, $C, $GM, $BA, $CVX, $COP, $WBA, $PSX, $CZR"
2021-07-19 19:27:07+00:00,"Just a matter of when, not if, we get an efficacious COVID anti-viral. Market will go to the moon again.  You don't want to be short or on the sidelines. $ALK $MGM $CZR $AAL"
2021-07-20 16:12:39+00:00,"$CZR $85.00 Jul 30 2021 PUT ⬇️🌊 Underlying: $91.71 % Difference: 7.89% Daily $ Volume: $95,490 Volume: 1,061 OI: 103 IV: 53.26% Bid/Ask: $0.82/$0.98"
